enquiry_id,tenant_id,received_at,source,intent,area,hours_bucket,converted_to_appointment,budget_signal
1ee0deb0-5ead-9d22-7699-c558a09187c1,kandb,2026-07-09 12:24:00,whatsapp,wardrobes,Runda,in_hours,False,under
ef649c16-c122-2f7c-e917-ae7d20519e04,kandb,2026-07-28 15:17:00,walk_in,bathroom_sanitaryware,Runda,in_hours,False,in_range
2d872047-832d-3503-e40b-fba6ce15be4e,kandb,2026-07-25 18:46:00,walk_in,kitchen,Runda,outside_hours,True,under
ce4b4950-f487-914a-6eff-a760234d029b,kandb,2026-07-18 16:58:00,instagram,whole_house,Kitisuru,in_hours,False,in_range
b5340f3c-ba16-ebdd-4ec1-bb1f49ce47ea,kandb,2026-07-15 09:54:00,whatsapp,whole_house,Rosslyn,in_hours,True,in_range
82ad5fe5-7363-ec7a-53a9-3843995c84fd,kandb,2026-05-23 16:24:00,referral,tiles,Kileleshwa,in_hours,False,in_range
c3c9058a-cccf-5693-ce15-7bec1109d968,kandb,2026-06-03 05:09:00,whatsapp,kitchen,Gigiri,outside_hours,True,in_range
59291925-f27b-dfb7-504b-50f2cc0e0351,kandb,2026-07-30 22:51:00,phone,appliances,Kitisuru,outside_hours,True,in_range
9acc1a48-6c07-1ace-a292-9666ad4d5a6a,kandb,2026-05-29 18:38:00,phone,bathroom_sanitaryware,Lavington,outside_hours,True,in_range
e34ac05d-4985-4bee-aa8a-870aaea1def2,kandb,2026-07-23 19:39:00,website_form,kitchen,Rosslyn,outside_hours,True,in_range
c1c2961d-92d1-635e-d4e5-c843ba88fef0,kandb,2026-07-29 02:22:00,walk_in,tiles,Kitisuru,outside_hours,True,in_range
2826195f-0722-d586-9469-7e9997309d89,kandb,2026-05-22 13:49:00,referral,tiles,Rosslyn,in_hours,True,in_range
03fa73c8-a8b7-f941-6f83-d3a8b7b45818,kandb,2026-07-24 23:59:00,walk_in,bathroom_sanitaryware,Kileleshwa,outside_hours,False,in_range
804bf8e7-3ca8-36ff-5f16-669bcc19bbe6,kandb,2026-06-20 11:45:00,website_form,whole_house,Karen,in_hours,False,not_stated
9e259b7a-c598-7b5b-0583-9e8cd6ef9460,kandb,2026-06-18 09:27:00,whatsapp,kitchen,Westlands,in_hours,False,in_range
aa23bc41-4962-40a3-8094-1ce27002d1f8,kandb,2026-05-28 17:27:00,walk_in,wardrobes,Runda,in_hours,False,in_range
90b691a6-7282-e395-17e9-b1735b328a81,kandb,2026-07-25 06:01:00,whatsapp,kitchen,Lavington,outside_hours,False,in_range
8d538aae-5398-c6a2-8dfe-6f972f10f64b,kandb,2026-07-13 01:29:00,walk_in,appliances,Lavington,outside_hours,False,in_range
e5dc9f2d-93f4-8b23-1abf-3669579c8c72,kandb,2026-07-08 08:46:00,website_form,wardrobes,Lavington,outside_hours,True,under
cb1ca65a-fd08-c20f-84c4-a5b79e279e6f,kandb,2026-07-10 15:14:00,whatsapp,wardrobes,Lavington,in_hours,True,under
09f51675-cc36-3010-6112-b38f41e540ff,kandb,2026-06-29 04:18:00,walk_in,kitchen,Runda,outside_hours,False,under
