selection_id,project_ref,item,status,outstanding_since,confirmed_at
c86785a7-4224-6ca9-b6f8-9b8e9b93c37b,KB-1201,Caesar tile selection,outstanding,2026-07-30,
0211d5f5-6563-55a8-786d-5f3aa772586d,KB-1205,worktop material,outstanding,2026-08-03,
74ac9d02-b6e9-457f-243c-c5fc054dc92e,KB-1205,tap finish,outstanding,2026-08-03,
144e95e6-e516-ab74-5d5d-1b0dede390f8,KB-1219,door finish,outstanding,2026-07-28,
27f58f6c-91a5-c645-8ddd-5ae15e94160a,KB-1219,appliance package,outstanding,2026-07-28,
348dec33-2573-19ea-b9ae-1107dadd19b5,KB-1220,Caesar tile selection,outstanding,2026-07-20,
223d24dc-f1f7-59c7-b12a-4d1487b187c3,KB-1220,grout colour,outstanding,2026-07-20,
a66c2123-d0c7-7956-4bfc-9a333fce7dc5,KB-1225,tap finish,outstanding,2026-08-09,
28181621-117b-ddc5-8c0e-5af2be4a5cc5,KB-1225,cabinet handles,outstanding,2026-08-09,
57674c19-888b-cd5b-4966-9e340ceb4884,KB-1226,wardrobe internal layout,outstanding,2026-08-04,
66ccf74e-ef34-c351-4068-da5af9944f56,KB-1233,Caesar tile selection,outstanding,2026-07-26,
91b4fbc8-99fb-064a-6f4d-a4f02e6c2f16,KB-1233,wardrobe internal layout,outstanding,2026-07-26,
18b04b85-0196-e079-0a12-6423865f5bba,KB-1236,tap finish,outstanding,2026-07-24,
