job_no,customer_id,contact_id,tenant_id,division,product_type,description,quantity,size,stock_code,colours,finishing,current_stage,received_at,promised_dispatch,actual_dispatch,collection_site,value
4471,4a36138b-484d-b384-052d-557184896331,7fffbc3f-5f0c-749f-fc40-918435e979df,ramco-printing,UNO,annual report 48pp,"2,000 x A4 48pp annual report, 4/4, matt lamination, perfect bound",2000,A4,STK-SILK-150,4/4,"{FIN-MATTLAM,FIN-PERFECT}",awaiting_approval,2026-08-06 00:00:00,2026-08-13,,"Dunga Close, Industrial Area",486000.0
4301,216e5023-45f9-fbac-d29d-859395858d97,2c995d46-5713-ab8f-9d1a-1c594a8a812d,ramco-printing,DUO,carton sleeve,"5,000 x carton sleeve",5000,90x54mm,STK-SILK-150,1/0,"{FIN-DIECUT,FIN-CASE}",delivered,2026-05-05 00:00:00,2026-05-13,2026-05-10,"Ramco Group Industrial Park, Mombasa Road",1040472.27
4302,056acd07-b13e-29f4-fcee-2c1b453aba36,7ab62628-711f-3b4f-a641-93f0eee77be0,ramco-printing,DUO,training manual perfect bound,250 x training manual perfect bound,250,std,STK-SILK-150,4/4,{FIN-SPOTUV},delivered,2026-06-06 00:00:00,2026-06-15,2026-06-12,"Ramco Group Industrial Park, Mombasa Road",11332.79
4303,30917424-9b81-3f23-0d08-4a01d60b505d,22ea34e6-8e07-f76d-1702-91d1ba5c03b1,ramco-printing,IX,outdoor signage panel,250 x outdoor signage panel,250,A3,STK-BOARD-350,1/0,{},delivered,2026-03-01 00:00:00,2026-03-07,2026-03-07,"Ramco Group Industrial Park, Mombasa Road",14829.82
4304,cc9a38b8-22cd-3a50-f6b1-0a7fc187593a,d52d6b71-af68-8d69-44eb-89baadef9f17,ramco-printing,IX,outdoor signage panel,250 x outdoor signage panel,250,A4,STK-GLOSS-130,4/0,{},delivered,2026-06-08 00:00:00,2026-06-15,2026-06-12,"Ramco Group Industrial Park, Mombasa Road",34013.53
4305,1fa48a73-7222-9877-55df-b36e5fc29844,3c156eb4-18f9-4428-6c5d-64c8c26b19a1,ramco-printing,IX,eco gift set,250 x eco gift set,250,A4,STK-GLOSS-170,4/0,{FIN-GLOSSLAM},delivered,2026-01-26 00:00:00,2026-02-04,2026-01-31,"Ramco Group Industrial Park, Mombasa Road",26030.72
4306,e1d27b19-fd81-a720-7ce6-d4558d3a7e8a,97452430-fe70-61a6-3bde-a150ce983640,ramco-printing,IX,exhibition backdrop,"2,000 x exhibition backdrop",2000,std,STK-GLOSS-130,1/0,{FIN-MATTLAM},delivered,2026-07-01 00:00:00,2026-07-10,2026-07-12,"Ramco Group Industrial Park, Mombasa Road",406181.43
4307,4066f493-868c-4f3d-16c6-1a9458abe20c,2f03c25f-fe75-f120-6346-1fb694fcd7a0,ramco-printing,IX,outdoor signage panel,500 x outdoor signage panel,500,A4,STK-BOND-100,4/4,{FIN-WIRO},delivered,2025-12-10 00:00:00,2025-12-18,2025-12-16,"Ramco Group Industrial Park, Mombasa Road",55535.66
4308,ca2f6f71-ed08-482b-f26a-4d45fe5fdc9e,0d06d344-8393-6f82-5dab-a938201166ed,ramco-printing,UNO,A4 booklet 24pp,500 x A4 booklet 24pp,500,A4,STK-BOND-80,1/0,{FIN-PERFECT},dispatched,2026-05-18 00:00:00,2026-05-26,2026-05-23,"Dunga Close, Industrial Area",10478.47
4309,a6e43db4-0e02-1dce-b316-ec6483e80d5e,38979c95-6fbf-b1fe-8679-04df08b6f2fa,ramco-printing,UNO,A4 booklet 24pp,"1,000 x A4 booklet 24pp",1000,std,STK-GLOSS-130,4/4,{FIN-GLOSSLAM},delivered,2026-02-26 00:00:00,2026-03-06,2026-03-04,"Dunga Close, Industrial Area",123785.72
