quote_ref,customer_id,tenant_id,division,spec_json,is_urgent,needed_by,status,estimator,quoted_value,created_at
QR-2200,4bdf9fbf-d1a8-b378-d9d9-1e732ccf62ab,ramco-printing,HEX,"{""product"":""B5 notebook""}",False,2026-09-21,lost,Naomi Muthoni,1128414.77,2026-07-15
QR-2201,de046c82-323a-44d9-4bbd-387ca8ad5f7b,ramco-printing,HEX,"{""product"":""desk diary 2027""}",False,2026-09-20,won,Peter Barasa,1193199.72,2026-05-20
QR-2202,264f9508-8edc-52a7-5b1f-e22ec5f9d06b,ramco-printing,UNO,"{""product"":""letterheads""}",False,2026-09-11,new,James Mutiso,477889.12,2026-06-02
QR-2203,a6e43db4-0e02-1dce-b316-ec6483e80d5e,ramco-printing,HEX,"{""product"":""A5 softcover journal""}",True,2026-09-14,quoted,Mercy Wafula,611949.02,2026-05-24
QR-2204,273f0a46-b0e0-15e4-2eea-537dd458199d,ramco-printing,DUO,"{""product"":""paperback book 300pp""}",True,2026-09-25,won,Naomi Omondi,1231150.15,2026-05-14
QR-2205,431a0612-649b-ac0c-b17f-741d131f33b3,ramco-printing,DUO,"{""product"":""instruction leaflet""}",True,2026-09-18,with_estimator,Esther Achieng,390434.7,2026-08-06
QR-2206,f4bcea1c-a9fc-85f2-a1fc-4c957ae2f877,ramco-printing,UNO,"{""product"":""presentation folder""}",False,2026-09-01,won,Mercy Wanjiru,1204261.38,2026-07-21
QR-2207,d7c87397-488b-3eac-c17d-b4e2b56cb2b7,ramco-printing,HEX,"{""product"":""A5 hardcover notebook""}",False,2026-09-10,won,Victor Wafula,1063206.49,2026-05-20
QR-2208,5ed7e7d8-8371-128d-9e01-df5e9d3259b2,ramco-printing,DUO,"{""product"":""monthly magazine""}",False,2026-10-02,won,Esther Muthoni,64162.12,2026-07-10
QR-2209,056acd07-b13e-29f4-fcee-2c1b453aba36,ramco-printing,UNO,"{""product"":""letterheads""}",False,2026-09-01,new,Dennis Njoroge,974957.73,2026-07-03
QR-2210,273f0a46-b0e0-15e4-2eea-537dd458199d,ramco-printing,DUO,"{""product"":""monthly magazine""}",True,2026-09-07,new,Victor Njoroge,971994.31,2026-07-11
QR-2211,cf6df40d-2ae6-3792-70c8-c21ba56cd4c9,ramco-printing,IX,"{""product"":""outdoor signage panel""}",False,2026-09-04,new,Dennis Achieng,218963.92,2026-05-13
QR-2212,f504ebaa-0156-eb96-e381-aa808aaf5f98,ramco-printing,IX,"{""product"":""pull-up banner""}",False,2026-09-12,lost,Victor Otieno,1202322.37,2026-06-27
QR-2213,dbc3b092-5210-ecf2-db66-87e70035347c,ramco-printing,DUO,"{""product"":""carton sleeve""}",False,2026-10-05,quoted,Mercy Otieno,445987.36,2026-06-10
QR-2214,92eba0e3-1087-a447-9bae-74f56bef94c2,ramco-printing,IX,"{""product"":""outdoor signage panel""}",True,2026-10-08,new,Samuel Wafula,974155.69,2026-08-07
QR-2215,644f0335-74ad-84e7-c2fe-e1ba6f020342,ramco-printing,DUO,"{""product"":""product label roll""}",False,2026-10-08,new,Joyce Achieng,986651.69,2026-07-03
