rate_card_id,division,product_type,size,stock_code,colours,qty_from,qty_to,unit_price_low,unit_price_high,setup_cost
03ca3340-150f-4757-eed3-937727041f3a,HEX,A5 hardcover notebook,A5,STK-BOARD-300,4/0,2001,10000,147.0,179.0,45000.0
3da4024e-9c2a-f8ea-210e-e018c136c60e,HEX,A5 hardcover notebook,A5,STK-BOARD-300,4/0,500,2000,210.0,268.0,45000.0
dfe998ec-a5d8-92d6-059b-f8365847a393,HEX,A5 softcover journal,A5,STK-BOARD-250,4/0,500,10000,92.0,128.0,30000.0
dd07e6a8-710c-a810-7ced-ddc2c8121b9e,HEX,desk diary 2027,A4,STK-BOARD-300,4/0,250,5000,340.0,480.0,60000.0
3f43d7bf-9670-a85a-bca5-4fbf5dd4bd06,UNO,business cards,90x54mm,STK-BOARD-350,4/4,100,999,10.4,17.6,4500
917d940d-797c-7a95-e0f3-54c0742853c4,UNO,business cards,90x54mm,STK-BOARD-350,4/4,1000,4999,6.5,11.0,4500
947dbd47-b96c-412f-cd0a-7280b06a7f42,UNO,business cards,90x54mm,STK-BOARD-350,4/4,5000,50000,5.33,9.02,4500
f66734e9-5e29-be37-a80b-31b3234049b7,UNO,letterheads,A4,STK-BOND-100,4/4,100,999,14.4,22.4,5000
318a6e03-2e59-cff4-3acc-ef688683b9e7,UNO,letterheads,A4,STK-BOND-100,4/4,1000,4999,9.0,14.0,5000
03afd4af-f915-2171-8a0c-4d963d7c7f15,UNO,letterheads,A4,STK-BOND-100,4/4,5000,50000,7.38,11.48,5000
13467df8-54a3-5c76-6fc4-904ed45b4475,UNO,A5 flyers,A5,STK-GLOSS-130,4/4,100,999,12.0,20.0,6000
cd1ee4f5-b323-5b13-663a-e126ec197721,UNO,A5 flyers,A5,STK-GLOSS-130,4/4,1000,4999,7.5,12.5,6000
ee459419-06c3-1cd7-d176-76330eae1361,UNO,A5 flyers,A5,STK-GLOSS-130,4/4,5000,50000,6.15,10.25,6000
41000302-6db2-1561-badc-2ba2c3a8ebc6,UNO,A4 brochure 8pp,A4,STK-SILK-150,4/4,100,999,76.8,115.2,18000
ad9e839b-cac1-b76c-1253-6c3ba7dd563a,UNO,A4 brochure 8pp,A4,STK-SILK-150,4/4,1000,4999,48.0,72.0,18000
a4139caf-79df-2e5a-3f78-5cae2a1f622a,UNO,A4 brochure 8pp,A4,STK-SILK-150,4/4,5000,50000,39.36,59.04,18000
9c9e4586-21f4-593a-0b9f-d5629bccf347,UNO,A4 booklet 24pp,A4,STK-SILK-130,4/4,100,999,188.8,264.0,24000
c21b7d27-e690-54f2-cc0a-f5ab6b912662,UNO,A4 booklet 24pp,A4,STK-SILK-130,4/4,1000,4999,118.0,165.0,24000
62eefd67-3df4-9841-6820-c781a733eea5,UNO,A4 booklet 24pp,A4,STK-SILK-130,4/4,5000,50000,96.76,135.3,24000
a8685974-2cf3-3068-537a-cb9e7b66938b,UNO,presentation folder,A4,STK-BOARD-350,4/4,100,999,131.2,198.4,22000
447a05ef-074b-8f19-98b0-8fd3adc449ec,UNO,presentation folder,A4,STK-BOARD-350,4/4,1000,4999,82.0,124.0,22000
0f375af8-0d33-305c-6a29-98890d6868fd,UNO,presentation folder,A4,STK-BOARD-350,4/4,5000,50000,67.24,101.68,22000
87ebf464-17fd-9a89-e055-5aadd8e0f7c8,IX,pull-up banner,std,,4/0,1,10000,8500,13500,0
e8cb8bad-13c8-8c1f-faed-320d1d04cd6b,IX,branded pens,std,,4/0,1,10000,62,118,8000
1e397c25-3122-008a-03a1-94e9816b665f,IX,branded mugs,std,,4/0,1,10000,340,580,9000
