registration,type,seats,is_pressurised
5Y-SL01,Cessna 208B Grand Caravan,12,False
5Y-SL02,Cessna 208B Grand Caravan,12,False
5Y-SL03,Cessna 208B Grand Caravan,12,False
5Y-SL04,Cessna 208B Grand Caravan,12,False
5Y-SL05,Cessna 208B Grand Caravan,12,False
5Y-SL06,Cessna 208B Grand Caravan,12,False
5Y-SL07,Cessna 208B Grand Caravan,12,False
5Y-SL08,Cessna 208B Grand Caravan,12,False
5Y-SL09,Cessna 208B Grand Caravan,12,False
5Y-SL10,Cessna 208B Grand Caravan,12,False
5Y-SLA,De Havilland Dash 8-100,37,True
5Y-SLB,De Havilland Dash 8-200,37,True
5Y-SLC,De Havilland Dash 8-300,50,True
5Y-SLD,De Havilland Dash 8-300,50,True
5Y-SLE,De Havilland Dash 8-100,37,True
