flight_no,flight_date,seats_total,seats_sold,seats_remaining,status
F2-102,2026-08-11,12,11,1,open
F2-104,2026-08-11,12,10,2,open
F2-106,2026-08-11,12,10,2,open
F2-110,2026-08-11,12,11,1,open
F2-112,2026-08-11,12,11,1,open
F2-114,2026-08-11,12,11,1,open
F2-116,2026-08-11,12,12,0,closed
F2-118,2026-08-11,12,10,2,open
F2-122,2026-08-11,12,12,0,closed
F2-124,2026-08-11,12,7,5,open
F2-126,2026-08-11,12,12,0,closed
F2-130,2026-08-11,12,10,2,open
F2-132,2026-08-11,12,10,2,open
F2-134,2026-08-11,12,8,4,open
F2-138,2026-08-11,12,8,4,open
F2-140,2026-08-11,12,11,1,open
F2-142,2026-08-11,50,48,2,open
F2-146,2026-08-11,12,12,0,closed
F2-148,2026-08-11,12,11,1,open
F2-150,2026-08-11,12,10,2,open
F2-152,2026-08-11,12,10,2,open
F2-154,2026-08-11,12,11,1,open
F2-158,2026-08-11,12,12,0,closed
F2-160,2026-08-11,50,35,15,open
F2-162,2026-08-11,50,46,4,open
F2-164,2026-08-11,50,46,4,open
F2-166,2026-08-11,50,44,6,open
F2-168,2026-08-11,50,45,5,open
F2-170,2026-08-11,37,37,0,closed
F2-172,2026-08-11,37,35,2,open
F2-174,2026-08-11,37,30,7,open
F2-176,2026-08-11,37,22,15,open
F2-178,2026-08-11,50,50,0,closed
F2-180,2026-08-11,50,49,1,open
F2-182,2026-08-11,50,36,14,open
F2-184,2026-08-11,50,50,0,closed
F2-186,2026-08-11,50,36,14,open
F2-188,2026-08-11,50,39,11,open
F2-190,2026-08-11,37,34,3,open
F2-192,2026-08-11,37,35,2,open
F2-194,2026-08-11,37,28,9,open
F2-196,2026-08-11,37,30,7,open
F2-104,2026-08-12,12,9,3,open
F2-106,2026-08-12,12,10,2,open
F2-108,2026-08-12,12,9,3,open
F2-110,2026-08-12,12,10,2,open
F2-112,2026-08-12,12,10,2,open
F2-114,2026-08-12,12,11,1,open
F2-118,2026-08-12,12,11,1,open
F2-120,2026-08-12,12,9,3,open
F2-122,2026-08-12,12,12,0,closed
F2-126,2026-08-12,12,11,1,open
F2-128,2026-08-12,12,11,1,open
F2-130,2026-08-12,12,10,2,open
F2-132,2026-08-12,12,9,3,open
F2-134,2026-08-12,12,11,1,open
F2-136,2026-08-12,12,11,1,open
F2-138,2026-08-12,12,11,1,open
F2-140,2026-08-12,12,9,3,open
F2-142,2026-08-12,50,43,7,open
F2-144,2026-08-12,12,10,2,open
F2-146,2026-08-12,12,11,1,open
F2-148,2026-08-12,12,10,2,open
F2-150,2026-08-12,12,8,4,open
F2-152,2026-08-12,12,11,1,open
F2-154,2026-08-12,12,11,1,open
F2-156,2026-08-12,12,12,0,closed
F2-158,2026-08-12,12,12,0,closed
F2-160,2026-08-12,50,49,1,open
F2-162,2026-08-12,50,34,16,open
F2-164,2026-08-12,50,50,0,closed
F2-166,2026-08-12,50,40,10,open
F2-168,2026-08-12,50,40,10,open
F2-170,2026-08-12,37,30,7,open
F2-172,2026-08-12,37,35,2,open
F2-174,2026-08-12,37,37,0,closed
F2-176,2026-08-12,37,32,5,open
F2-178,2026-08-12,50,50,0,closed
F2-180,2026-08-12,50,41,9,open
F2-182,2026-08-12,50,50,0,closed
F2-184,2026-08-12,50,40,10,open
F2-186,2026-08-12,50,44,6,open
F2-188,2026-08-12,50,34,16,open
F2-190,2026-08-12,37,33,4,open
F2-192,2026-08-12,37,37,0,closed
F2-194,2026-08-12,37,33,4,open
F2-196,2026-08-12,37,35,2,open
F2-102,2026-08-13,12,11,1,open
F2-104,2026-08-13,12,12,0,closed
F2-106,2026-08-13,12,11,1,open
F2-110,2026-08-13,12,9,3,open
F2-112,2026-08-13,12,12,0,closed
F2-114,2026-08-13,12,11,1,open
F2-116,2026-08-13,12,8,4,open
F2-118,2026-08-13,12,8,4,open
F2-122,2026-08-13,12,12,0,closed
F2-124,2026-08-13,12,11,1,open
F2-126,2026-08-13,12,12,0,closed
F2-130,2026-08-13,12,12,0,closed
F2-132,2026-08-13,12,12,0,closed
F2-134,2026-08-13,12,10,2,open
F2-138,2026-08-13,12,9,3,open
F2-140,2026-08-13,12,12,0,closed
F2-142,2026-08-13,50,41,9,open
F2-146,2026-08-13,12,10,2,open
F2-148,2026-08-13,12,11,1,open
F2-150,2026-08-13,12,10,2,open
F2-152,2026-08-13,12,11,1,open
F2-154,2026-08-13,12,9,3,open
F2-158,2026-08-13,12,11,1,open
F2-160,2026-08-13,50,40,10,open
F2-162,2026-08-13,50,50,0,closed
F2-164,2026-08-13,50,35,15,open
F2-166,2026-08-13,50,39,11,open
F2-168,2026-08-13,50,38,12,open
F2-170,2026-08-13,37,24,13,open
F2-172,2026-08-13,37,35,2,open
F2-174,2026-08-13,37,29,8,open
F2-176,2026-08-13,37,26,11,open
F2-178,2026-08-13,50,44,6,open
F2-180,2026-08-13,50,40,10,open
F2-182,2026-08-13,50,37,13,open
F2-184,2026-08-13,50,47,3,open
F2-186,2026-08-13,50,47,3,open
F2-188,2026-08-13,50,50,0,closed
F2-190,2026-08-13,37,34,3,open
F2-192,2026-08-13,37,36,1,open
F2-194,2026-08-13,37,37,0,closed
F2-196,2026-08-13,37,28,9,open
F2-104,2026-08-14,12,11,1,open
F2-106,2026-08-14,12,10,2,open
F2-108,2026-08-14,12,12,0,closed
F2-110,2026-08-14,12,10,2,open
F2-112,2026-08-14,12,12,0,closed
F2-114,2026-08-14,12,12,0,closed
F2-118,2026-08-14,12,12,0,closed
F2-120,2026-08-14,12,11,1,open
F2-122,2026-08-14,12,11,1,open
F2-126,2026-08-14,12,9,3,open
F2-128,2026-08-14,12,8,4,open
F2-130,2026-08-14,12,10,2,open
F2-132,2026-08-14,12,7,5,open
F2-134,2026-08-14,12,11,1,open
F2-136,2026-08-14,12,7,5,open
F2-138,2026-08-14,12,12,0,closed
F2-140,2026-08-14,12,12,0,closed
F2-142,2026-08-14,50,43,7,open
F2-144,2026-08-14,12,11,1,open
F2-146,2026-08-14,12,11,1,open
F2-148,2026-08-14,12,12,0,closed
F2-150,2026-08-14,12,11,1,open
F2-152,2026-08-14,12,8,4,open
F2-154,2026-08-14,12,10,2,open
F2-156,2026-08-14,12,7,5,open
F2-158,2026-08-14,12,10,2,open
F2-160,2026-08-14,50,45,5,open
F2-162,2026-08-14,50,50,0,closed
F2-164,2026-08-14,50,50,0,closed
F2-166,2026-08-14,50,40,10,open
F2-168,2026-08-14,50,47,3,open
F2-170,2026-08-14,37,27,10,open
F2-172,2026-08-14,37,37,0,closed
F2-174,2026-08-14,37,14,23,open
F2-176,2026-08-14,37,26,11,open
F2-178,2026-08-14,50,41,9,open
F2-180,2026-08-14,50,49,1,open
F2-182,2026-08-14,50,39,11,open
F2-184,2026-08-14,50,45,5,open
F2-186,2026-08-14,50,43,7,open
F2-188,2026-08-14,50,33,17,open
F2-190,2026-08-14,37,25,12,open
F2-192,2026-08-14,37,30,7,open
F2-194,2026-08-14,37,37,0,closed
F2-196,2026-08-14,37,24,13,open
F2-102,2026-08-15,12,8,4,open
F2-104,2026-08-15,12,8,4,open
F2-106,2026-08-15,12,12,0,closed
F2-110,2026-08-15,12,8,4,open
F2-112,2026-08-15,12,11,1,open
F2-114,2026-08-15,12,9,3,open
F2-116,2026-08-15,12,11,1,open
F2-118,2026-08-15,12,10,2,open
F2-122,2026-08-15,12,9,3,open
F2-124,2026-08-15,12,9,3,open
F2-126,2026-08-15,12,11,1,open
F2-130,2026-08-15,12,11,1,open
F2-132,2026-08-15,12,12,0,closed
F2-134,2026-08-15,12,10,2,open
F2-138,2026-08-15,12,10,2,open
F2-140,2026-08-15,12,9,3,open
F2-142,2026-08-15,50,42,8,open
F2-146,2026-08-15,12,11,1,open
F2-148,2026-08-15,12,11,1,open
F2-150,2026-08-15,12,9,3,open
F2-152,2026-08-15,12,9,3,open
F2-154,2026-08-15,12,11,1,open
F2-158,2026-08-15,12,10,2,open
F2-160,2026-08-15,50,37,13,open
F2-162,2026-08-15,50,41,9,open
F2-164,2026-08-15,50,40,10,open
F2-166,2026-08-15,50,44,6,open
F2-168,2026-08-15,50,43,7,open
F2-170,2026-08-15,37,30,7,open
F2-172,2026-08-15,37,33,4,open
F2-174,2026-08-15,37,32,5,open
F2-176,2026-08-15,37,27,10,open
F2-178,2026-08-15,50,39,11,open
F2-180,2026-08-15,50,50,0,closed
F2-182,2026-08-15,50,34,16,open
F2-184,2026-08-15,50,29,21,open
F2-186,2026-08-15,50,43,7,open
F2-188,2026-08-15,50,44,6,open
F2-190,2026-08-15,37,31,6,open
F2-192,2026-08-15,37,33,4,open
F2-194,2026-08-15,37,37,0,closed
F2-196,2026-08-15,37,28,9,open
F2-104,2026-08-16,12,12,0,closed
F2-106,2026-08-16,12,10,2,open
F2-108,2026-08-16,12,12,0,closed
F2-110,2026-08-16,12,10,2,open
F2-112,2026-08-16,12,10,2,open
F2-114,2026-08-16,12,9,3,open
F2-118,2026-08-16,12,10,2,open
F2-120,2026-08-16,12,10,2,open
F2-122,2026-08-16,12,9,3,open
F2-126,2026-08-16,12,10,2,open
F2-128,2026-08-16,12,11,1,open
F2-130,2026-08-16,12,7,5,open
F2-132,2026-08-16,12,9,3,open
F2-134,2026-08-16,12,9,3,open
F2-136,2026-08-16,12,8,4,open
F2-138,2026-08-16,12,7,5,open
F2-140,2026-08-16,12,8,4,open
F2-142,2026-08-16,50,45,5,open
F2-144,2026-08-16,12,9,3,open
F2-146,2026-08-16,12,9,3,open
F2-148,2026-08-16,12,10,2,open
F2-150,2026-08-16,12,10,2,open
F2-152,2026-08-16,12,10,2,open
F2-154,2026-08-16,12,9,3,open
F2-156,2026-08-16,12,9,3,open
F2-158,2026-08-16,12,10,2,open
F2-160,2026-08-16,50,37,13,open
F2-162,2026-08-16,50,42,8,open
F2-164,2026-08-16,50,43,7,open
F2-166,2026-08-16,50,50,0,closed
F2-168,2026-08-16,50,46,4,open
F2-170,2026-08-16,37,29,8,open
F2-172,2026-08-16,37,29,8,open
F2-174,2026-08-16,37,37,0,closed
F2-176,2026-08-16,37,37,0,closed
F2-178,2026-08-16,50,31,19,open
F2-180,2026-08-16,50,49,1,open
F2-182,2026-08-16,50,48,2,open
F2-184,2026-08-16,50,44,6,open
F2-186,2026-08-16,50,41,9,open
F2-188,2026-08-16,50,50,0,closed
F2-190,2026-08-16,37,33,4,open
F2-192,2026-08-16,37,30,7,open
F2-194,2026-08-16,37,31,6,open
F2-196,2026-08-16,37,35,2,open
F2-104,2026-08-17,12,11,1,open
F2-106,2026-08-17,12,8,4,open
F2-108,2026-08-17,12,9,3,open
F2-110,2026-08-17,12,11,1,open
F2-112,2026-08-17,12,12,0,closed
F2-114,2026-08-17,12,11,1,open
F2-118,2026-08-17,12,10,2,open
F2-120,2026-08-17,12,9,3,open
F2-122,2026-08-17,12,7,5,open
F2-126,2026-08-17,12,8,4,open
F2-128,2026-08-17,12,12,0,closed
F2-130,2026-08-17,12,7,5,open
F2-132,2026-08-17,12,11,1,open
F2-134,2026-08-17,12,10,2,open
F2-136,2026-08-17,12,10,2,open
F2-138,2026-08-17,12,9,3,open
F2-140,2026-08-17,12,10,2,open
F2-142,2026-08-17,50,42,8,open
F2-144,2026-08-17,12,8,4,open
F2-146,2026-08-17,12,6,6,open
F2-148,2026-08-17,12,10,2,open
F2-150,2026-08-17,12,7,5,open
F2-152,2026-08-17,12,12,0,closed
F2-154,2026-08-17,12,10,2,open
F2-156,2026-08-17,12,9,3,open
F2-158,2026-08-17,12,11,1,open
F2-160,2026-08-17,50,45,5,open
F2-162,2026-08-17,50,48,2,open
F2-164,2026-08-17,50,34,16,open
F2-166,2026-08-17,50,40,10,open
F2-168,2026-08-17,50,50,0,closed
F2-170,2026-08-17,37,30,7,open
F2-172,2026-08-17,37,29,8,open
F2-174,2026-08-17,37,27,10,open
F2-176,2026-08-17,37,28,9,open
F2-178,2026-08-17,50,43,7,open
F2-180,2026-08-17,50,31,19,open
F2-182,2026-08-17,50,46,4,open
F2-184,2026-08-17,50,39,11,open
F2-186,2026-08-17,50,33,17,open
F2-188,2026-08-17,50,40,10,open
F2-190,2026-08-17,37,34,3,open
F2-192,2026-08-17,37,28,9,open
F2-194,2026-08-17,37,29,8,open
