segment_id,pnr,flight_no,flight_date,origin_iata,destination_iata,departure_time,arrival_time,segment_order
11401f2b-e574-6561-98e6-bb98ca599172,XKPT4M,F2-142,2026-08-26,WIL,UKA,10:15,11:05,1
bba53c6b-b278-8fce-4739-45a10c432929,XKPT4M,F2-164,2026-09-01,UKA,WIL,09:00,09:50,2
1293fece-2ca5-f8b8-648f-8a5f33ebb5e3,RM9K2T,F2-102,2026-08-17,WIL,OLX,07:30,08:15,1
008cabb3-f9d9-0bee-090d-85d80b5bb162,RVA9ZW,F2-146,2026-05-31,LSB,WIL,09:00,09:55,1
7f03c1ed-77e4-2f4b-bfa1-c0166f57f215,RDLU4N,F2-164,2026-05-12,UKA,WIL,09:00,09:50,1
a5e36a5f-c55b-8480-e31b-67fbd18e32e4,67KDNK,F2-150,2026-08-23,NYK,WIL,09:15,09:50,1
c7ec0c17-7229-5697-f65b-99906ccedb03,J8CT37,F2-150,2026-05-25,NYK,WIL,09:15,09:50,1
bf79ccce-748e-336d-141e-a6769970f5e1,39MDK9,F2-132,2026-05-07,WIL,ASV,07:45,08:25,1
c7ef6206-eb71-7e4a-0fee-4aa245f79104,B4E4G9,F2-172,2026-08-20,MYD,WIL,09:15,10:20,1
bf364874-c9d8-ed4c-5890-2e2c925ce16e,6ER6AJ,F2-132,2026-05-18,WIL,ASV,07:45,08:25,1
6c0226ab-bfbd-f667-9e17-9b2c64b9f7b6,VPTR25,F2-102,2026-09-05,WIL,OLX,07:30,08:15,1
4f7ea47b-2793-ace6-fd1a-63784d192f87,V97X8C,F2-150,2026-07-27,NYK,WIL,09:15,09:50,1
455b616c-be24-8e9d-13aa-43846e0604ff,STB9Y9,F2-132,2026-04-16,WIL,ASV,07:45,08:25,1
67533cf0-9f59-0a65-f710-0f10cd8c0e17,W5WEVH,F2-164,2026-07-29,UKA,WIL,09:00,09:50,1
be18d10e-d279-7f07-871e-adaa9b7410b0,SNGV3E,F2-144,2026-04-22,WIL,LSB,07:15,08:10,1
e72131fe-f8ce-e904-40cf-cd98a48870c0,CZNT9H,F2-170,2026-08-13,WIL,MYD,07:45,08:50,1
7f843d8a-9fe8-80d3-417b-6d49abbb9c66,QTCRNJ,F2-188,2026-04-22,EBB,WIL,09:00,10:45,1
10db5e37-ff50-b1ee-5402-f2850e3f7434,UG89HD,F2-148,2026-06-23,WIL,NYK,07:15,07:50,1
f702023d-8f85-34ff-eb81-30047539cc91,9BXLQF,F2-176,2026-05-24,LAU,WIL,09:30,10:50,1
63f845d1-c153-f49e-130c-0bb242e886c2,VNBP5G,F2-162,2026-08-18,WIL,UKA,10:15,11:05,1
4508354e-df0b-122c-cc17-91c07c346e9d,3LLT6Q,F2-172,2026-08-13,MYD,WIL,09:15,10:20,1
ee275873-97cd-c3d9-0b7e-2999a9d4f0e1,MQ7X5G,F2-130,2026-09-03,OSE,WIL,09:00,09:48,1
0336a64f-f6da-8e5f-560e-38203ec761da,P68RJS,F2-138,2026-06-08,UAS,WIL,09:45,10:45,1
c0a27830-1bff-3615-576f-8b61a2253694,KAEGJ7,F2-190,2026-06-06,WIL,JRO,07:45,09:00,1
fc5308f3-d790-f4d0-396f-5003de70d6a7,AGVQ3E,F2-126,2026-05-22,MNA,WIL,09:30,10:20,1
7f3d5696-227b-a041-ee87-477069ab6562,SGLBM2,F2-170,2026-04-24,WIL,MYD,07:45,08:50,1
b604e20b-5229-b4a6-15b4-3f03176c25ae,GRAXVN,F2-136,2026-06-01,WIL,UAS,07:00,08:00,1
2551503d-34f2-ef64-4bbd-a49b4a3a41b8,ZXDV3S,F2-142,2026-05-17,WIL,UKA,10:15,11:05,1
6e7f1049-d63c-f389-e803-43720be62ce6,7REXXM,F2-194,2026-07-27,WIL,ARK,07:15,08:35,1
f5204508-e488-4c92-18a7-7c04e2db31e9,UXXJ2V,F2-186,2026-08-31,WIL,EBB,07:45,09:30,1
f0b0040d-1aa4-1e8b-2e6c-7e3b59e6fc0b,3HQT5L,F2-176,2026-05-13,LAU,WIL,09:30,10:50,1
1d32367b-db4a-3494-af96-579116303600,UMYUWW,F2-150,2026-04-25,NYK,WIL,09:15,09:50,1
d4636598-f085-bdae-6a96-fa45e5f5e285,PX5DJD,F2-128,2026-08-30,WIL,OSE,07:45,08:33,1
e0a96aba-2cf0-7b5d-11a1-c72740589a51,CWHS37,F2-122,2026-09-09,KTJ,WIL,09:00,09:50,1
a8739838-ee2c-8ac7-5b18-89fd502a7900,7XUHKH,F2-168,2026-05-25,MBA,WIL,09:45,10:40,1
39b53dfc-2d4d-2398-34ca-da69dff6a4fd,9UHT6L,F2-106,2026-08-28,OLX,WIL,09:30,10:15,1
dcbfadfa-d213-b62a-886e-e405fc32c736,KA86WW,F2-150,2026-08-14,NYK,WIL,09:15,09:50,1
2e29165e-eaf2-094a-9061-0e3f6d0104f3,MLUNUK,F2-130,2026-07-16,OSE,WIL,09:00,09:48,1
c6e70a3e-8f1e-5984-5406-60bbc9a712dc,7HGX6D,F2-108,2026-05-13,WIL,KEU,07:45,08:35,1
f4c1bc30-67ac-1431-9595-5a92950d5981,ZHAQHL,F2-134,2026-05-21,ASV,WIL,09:30,10:10,1
5b553d57-a276-9296-afdf-56e74a40c2c8,G482G4,F2-158,2026-06-28,KIU,WIL,09:45,10:30,1
66731652-e7fc-2558-3952-267448be1eda,UPMYFN,F2-124,2026-07-21,WIL,MNA,07:30,08:20,1
5de2597c-66a8-3f47-c3ac-f2ba0a5d5ceb,28AGN7,F2-126,2026-08-08,MNA,WIL,09:30,10:20,1
5fa3a3de-d105-8bc7-250d-9a80aae1c75d,JQXT3S,F2-180,2026-06-07,KIS,WIL,09:15,10:10,1
0a77cbeb-5983-202a-f1be-06980feb36fd,3CPKVQ,F2-184,2026-04-15,ZNZ,WIL,09:00,10:50,1
32718138-2396-0d10-71ee-e0a09c950b74,GJQ9C6,F2-134,2026-07-22,ASV,WIL,09:30,10:10,1
7db485f7-fdad-f312-601e-64a8ce55c73c,4WCFNN,F2-158,2026-07-16,KIU,WIL,09:45,10:30,1
012ae4fd-c94f-2d40-7862-86ac44dfbf22,4FCY9J,F2-172,2026-07-13,MYD,WIL,09:15,10:20,1
4cc09e88-23db-efcc-8631-349d2477b8e2,52ATAU,F2-148,2026-08-30,WIL,NYK,07:15,07:50,1
5163ac0a-c18a-10d0-11e0-a1e4f13ef3a2,LXB6W6,F2-132,2026-07-14,WIL,ASV,07:45,08:25,1
