flight_no,flight_date,scheduled_departure,actual_departure,status,reason
F2-104,2026-07-28,2026-07-28T10:15:00,2026-07-28T11:25:00,arrived,Operational
F2-106,2026-07-28,2026-07-28T09:30:00,2026-07-28T09:30:00,arrived,
F2-118,2026-07-28,2026-07-28T09:45:00,2026-07-28T09:45:00,arrived,
F2-122,2026-07-28,2026-07-28T09:00:00,2026-07-28T09:00:00,arrived,
F2-126,2026-07-28,2026-07-28T09:30:00,2026-07-28T10:22:00,arrived,Operational
F2-132,2026-07-28,2026-07-28T07:45:00,2026-07-28T07:45:00,arrived,
F2-134,2026-07-28,2026-07-28T09:30:00,2026-07-28T09:30:00,arrived,
F2-140,2026-07-28,2026-07-28T07:30:00,2026-07-28T07:30:00,arrived,
F2-142,2026-07-28,2026-07-28T10:15:00,2026-07-28T10:15:00,arrived,
F2-154,2026-07-28,2026-07-28T09:15:00,2026-07-28T09:15:00,arrived,
F2-160,2026-07-28,2026-07-28T07:00:00,2026-07-28T07:00:00,arrived,
F2-166,2026-07-28,2026-07-28T07:15:00,2026-07-28T07:15:00,arrived,
F2-170,2026-07-28,2026-07-28T07:45:00,2026-07-28T07:45:00,arrived,
F2-174,2026-07-28,2026-07-28T07:15:00,2026-07-28T07:44:00,arrived,Operational
F2-176,2026-07-28,2026-07-28T09:30:00,2026-07-28T09:30:00,arrived,
F2-178,2026-07-28,2026-07-28T07:30:00,2026-07-28T07:30:00,arrived,
F2-182,2026-07-28,2026-07-28T07:30:00,2026-07-28T07:30:00,arrived,
F2-184,2026-07-28,2026-07-28T09:00:00,2026-07-28T09:00:00,arrived,
F2-194,2026-07-28,2026-07-28T07:15:00,,cancelled,Weather - airstrip conditions
F2-196,2026-07-28,2026-07-28T09:30:00,2026-07-28T09:30:00,arrived,
F2-110,2026-07-29,2026-07-29T10:15:00,2026-07-29T10:15:00,arrived,
F2-114,2026-07-29,2026-07-29T07:30:00,2026-07-29T07:30:00,arrived,
F2-120,2026-07-29,2026-07-29T07:15:00,2026-07-29T07:15:00,arrived,
F2-128,2026-07-29,2026-07-29T07:45:00,2026-07-29T07:45:00,arrived,
