route_id,origin_iata,destination_iata,typical_aircraft_type,block_time_minutes,baggage_allowance_kg
WIL-OLX,WIL,OLX,Cessna 208B Grand Caravan,45,15
OLX-WIL,OLX,WIL,Cessna 208B Grand Caravan,45,15
WIL-KEU,WIL,KEU,Cessna 208B Grand Caravan,50,15
KEU-WIL,KEU,WIL,Cessna 208B Grand Caravan,50,15
WIL-MRE,WIL,MRE,Cessna 208B Grand Caravan,55,15
MRE-WIL,MRE,WIL,Cessna 208B Grand Caravan,55,15
WIL-KTJ,WIL,KTJ,Cessna 208B Grand Caravan,50,15
KTJ-WIL,KTJ,WIL,Cessna 208B Grand Caravan,50,15
WIL-MNA,WIL,MNA,Cessna 208B Grand Caravan,50,15
MNA-WIL,MNA,WIL,Cessna 208B Grand Caravan,50,15
WIL-OSE,WIL,OSE,Cessna 208B Grand Caravan,48,15
OSE-WIL,OSE,WIL,Cessna 208B Grand Caravan,48,15
WIL-ASV,WIL,ASV,Cessna 208B Grand Caravan,40,15
ASV-WIL,ASV,WIL,Cessna 208B Grand Caravan,40,15
WIL-UAS,WIL,UAS,Cessna 208B Grand Caravan,60,15
UAS-WIL,UAS,WIL,Cessna 208B Grand Caravan,60,15
WIL-LKU,WIL,LKU,Cessna 208B Grand Caravan,50,15
LKU-WIL,LKU,WIL,Cessna 208B Grand Caravan,50,15
WIL-LSB,WIL,LSB,Cessna 208B Grand Caravan,55,15
LSB-WIL,LSB,WIL,Cessna 208B Grand Caravan,55,15
WIL-NYK,WIL,NYK,Cessna 208B Grand Caravan,35,15
NYK-WIL,NYK,WIL,Cessna 208B Grand Caravan,35,15
WIL-NVA,WIL,NVA,Cessna 208B Grand Caravan,25,15
NVA-WIL,NVA,WIL,Cessna 208B Grand Caravan,25,15
WIL-KIU,WIL,KIU,Cessna 208B Grand Caravan,45,15
KIU-WIL,KIU,WIL,Cessna 208B Grand Caravan,45,15
WIL-UKA,WIL,UKA,De Havilland Dash 8-300,50,20
UKA-WIL,UKA,WIL,De Havilland Dash 8-300,50,20
WIL-MBA,WIL,MBA,De Havilland Dash 8-300,55,20
MBA-WIL,MBA,WIL,De Havilland Dash 8-300,55,20
WIL-MYD,WIL,MYD,De Havilland Dash 8-100,65,20
MYD-WIL,MYD,WIL,De Havilland Dash 8-100,65,20
WIL-LAU,WIL,LAU,De Havilland Dash 8-100,80,20
LAU-WIL,LAU,WIL,De Havilland Dash 8-100,80,20
WIL-KIS,WIL,KIS,De Havilland Dash 8-300,55,20
KIS-WIL,KIS,WIL,De Havilland Dash 8-300,55,20
WIL-ZNZ,WIL,ZNZ,De Havilland Dash 8-300,110,20
ZNZ-WIL,ZNZ,WIL,De Havilland Dash 8-300,110,20
WIL-EBB,WIL,EBB,De Havilland Dash 8-300,105,20
EBB-WIL,EBB,WIL,De Havilland Dash 8-300,105,20
WIL-JRO,WIL,JRO,De Havilland Dash 8-100,75,15
JRO-WIL,JRO,WIL,De Havilland Dash 8-100,75,15
WIL-ARK,WIL,ARK,De Havilland Dash 8-100,80,15
ARK-WIL,ARK,WIL,De Havilland Dash 8-100,80,15
