flight_no,route_id,days_of_week,departure_time,arrival_time,aircraft_type,season,effective_from,effective_to
F2-102,WIL-OLX,"{2,4,6}",07:30,08:15,Cessna 208B Grand Caravan,year_round,2026-02-12,2027-02-07
F2-104,WIL-OLX,"{1,2,3,4,5,6,7}",10:15,11:00,Cessna 208B Grand Caravan,year_round,2026-02-12,2027-02-07
F2-106,OLX-WIL,"{1,2,3,4,5,6,7}",09:30,10:15,Cessna 208B Grand Caravan,year_round,2026-02-12,2027-02-07
F2-108,WIL-KEU,"{1,3,5,7}",07:45,08:35,Cessna 208B Grand Caravan,year_round,2026-02-12,2027-02-07
F2-110,WIL-KEU,"{1,2,3,4,5,6,7}",10:15,11:05,Cessna 208B Grand Caravan,year_round,2026-02-12,2027-02-07
F2-112,KEU-WIL,"{1,2,3,4,5,6,7}",09:00,09:50,Cessna 208B Grand Caravan,year_round,2026-02-12,2027-02-07
F2-114,WIL-MRE,"{1,2,3,4,5,6,7}",07:30,08:25,Cessna 208B Grand Caravan,year_round,2026-02-12,2027-02-07
F2-116,WIL-MRE,"{2,4,6}",10:15,11:10,Cessna 208B Grand Caravan,year_round,2026-02-12,2027-02-07
F2-118,MRE-WIL,"{1,2,3,4,5,6,7}",09:45,10:40,Cessna 208B Grand Caravan,year_round,2026-02-12,2027-02-07
F2-120,WIL-KTJ,"{1,3,5,7}",07:15,08:05,Cessna 208B Grand Caravan,year_round,2026-02-12,2027-02-07
F2-122,KTJ-WIL,"{1,2,3,4,5,6,7}",09:00,09:50,Cessna 208B Grand Caravan,year_round,2026-02-12,2027-02-07
F2-124,WIL-MNA,"{2,4,6}",07:30,08:20,Cessna 208B Grand Caravan,year_round,2026-02-12,2027-02-07
F2-126,MNA-WIL,"{1,2,3,4,5,6,7}",09:30,10:20,Cessna 208B Grand Caravan,year_round,2026-02-12,2027-02-07
F2-128,WIL-OSE,"{1,3,5,7}",07:45,08:33,Cessna 208B Grand Caravan,year_round,2026-02-12,2027-02-07
F2-130,OSE-WIL,"{1,2,3,4,5,6,7}",09:00,09:48,Cessna 208B Grand Caravan,year_round,2026-02-12,2027-02-07
F2-132,WIL-ASV,"{1,2,3,4,5,6,7}",07:45,08:25,Cessna 208B Grand Caravan,year_round,2026-02-12,2027-02-07
F2-134,ASV-WIL,"{1,2,3,4,5,6,7}",09:30,10:10,Cessna 208B Grand Caravan,year_round,2026-02-12,2027-02-07
F2-136,WIL-UAS,"{1,3,5,7}",07:00,08:00,Cessna 208B Grand Caravan,year_round,2026-02-12,2027-02-07
F2-138,UAS-WIL,"{1,2,3,4,5,6,7}",09:45,10:45,Cessna 208B Grand Caravan,year_round,2026-02-12,2027-02-07
F2-140,WIL-LKU,"{1,2,3,4,5,6,7}",07:30,08:20,Cessna 208B Grand Caravan,year_round,2026-02-12,2027-02-07
F2-144,WIL-LSB,"{1,3,5,7}",07:15,08:10,Cessna 208B Grand Caravan,year_round,2026-02-12,2027-02-07
F2-146,LSB-WIL,"{1,2,3,4,5,6,7}",09:00,09:55,Cessna 208B Grand Caravan,year_round,2026-02-12,2027-02-07
F2-148,WIL-NYK,"{1,2,3,4,5,6,7}",07:15,07:50,Cessna 208B Grand Caravan,year_round,2026-02-12,2027-02-07
F2-150,NYK-WIL,"{1,2,3,4,5,6,7}",09:15,09:50,Cessna 208B Grand Caravan,year_round,2026-02-12,2027-02-07
F2-152,WIL-NVA,"{1,2,3,4,5,6,7}",07:30,07:55,Cessna 208B Grand Caravan,year_round,2026-02-12,2027-02-07
F2-154,NVA-WIL,"{1,2,3,4,5,6,7}",09:15,09:40,Cessna 208B Grand Caravan,year_round,2026-02-12,2027-02-07
F2-156,WIL-KIU,"{1,3,5,7}",07:00,07:45,Cessna 208B Grand Caravan,year_round,2026-02-12,2027-02-07
F2-158,KIU-WIL,"{1,2,3,4,5,6,7}",09:45,10:30,Cessna 208B Grand Caravan,year_round,2026-02-12,2027-02-07
F2-160,WIL-UKA,"{1,2,3,4,5,6,7}",07:00,07:50,De Havilland Dash 8-300,year_round,2026-02-12,2027-02-07
F2-162,WIL-UKA,"{1,2,3,4,5,6,7}",10:15,11:05,De Havilland Dash 8-300,year_round,2026-02-12,2027-02-07
F2-164,UKA-WIL,"{1,2,3,4,5,6,7}",09:00,09:50,De Havilland Dash 8-300,year_round,2026-02-12,2027-02-07
F2-166,WIL-MBA,"{1,2,3,4,5,6,7}",07:15,08:10,De Havilland Dash 8-300,year_round,2026-02-12,2027-02-07
F2-168,MBA-WIL,"{1,2,3,4,5,6,7}",09:45,10:40,De Havilland Dash 8-300,year_round,2026-02-12,2027-02-07
F2-170,WIL-MYD,"{1,2,3,4,5,6,7}",07:45,08:50,De Havilland Dash 8-100,year_round,2026-02-12,2027-02-07
F2-172,MYD-WIL,"{1,2,3,4,5,6,7}",09:15,10:20,De Havilland Dash 8-100,year_round,2026-02-12,2027-02-07
F2-174,WIL-LAU,"{1,2,3,4,5,6,7}",07:15,08:35,De Havilland Dash 8-100,year_round,2026-02-12,2027-02-07
F2-176,LAU-WIL,"{1,2,3,4,5,6,7}",09:30,10:50,De Havilland Dash 8-100,year_round,2026-02-12,2027-02-07
F2-178,WIL-KIS,"{1,2,3,4,5,6,7}",07:30,08:25,De Havilland Dash 8-300,year_round,2026-02-12,2027-02-07
F2-180,KIS-WIL,"{1,2,3,4,5,6,7}",09:15,10:10,De Havilland Dash 8-300,year_round,2026-02-12,2027-02-07
F2-182,WIL-ZNZ,"{1,2,3,4,5,6,7}",07:30,09:20,De Havilland Dash 8-300,year_round,2026-02-12,2027-02-07
F2-184,ZNZ-WIL,"{1,2,3,4,5,6,7}",09:00,10:50,De Havilland Dash 8-300,year_round,2026-02-12,2027-02-07
F2-186,WIL-EBB,"{1,2,3,4,5,6,7}",07:45,09:30,De Havilland Dash 8-300,year_round,2026-02-12,2027-02-07
F2-188,EBB-WIL,"{1,2,3,4,5,6,7}",09:00,10:45,De Havilland Dash 8-300,year_round,2026-02-12,2027-02-07
F2-190,WIL-JRO,"{1,2,3,4,5,6,7}",07:45,09:00,De Havilland Dash 8-100,year_round,2026-02-12,2027-02-07
F2-192,JRO-WIL,"{1,2,3,4,5,6,7}",09:30,10:45,De Havilland Dash 8-100,year_round,2026-02-12,2027-02-07
F2-194,WIL-ARK,"{1,2,3,4,5,6,7}",07:15,08:35,De Havilland Dash 8-100,year_round,2026-02-12,2027-02-07
F2-196,ARK-WIL,"{1,2,3,4,5,6,7}",09:30,10:50,De Havilland Dash 8-100,year_round,2026-02-12,2027-02-07
F2-142,WIL-UKA,"{1,2,3,4,5,6,7}",10:15,11:05,De Havilland Dash 8-300,year_round,2026-02-12,2027-02-07
