invoice_id,order_id,account_id,tenant_id,invoice_date,due_date,amount,amount_paid,status
INV-2001,SO-2001,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,sai-ke,2026-07-07,2026-08-15,50644.36,0,outstanding
INV-2002,SO-2002,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,sai-ke,2026-06-10,2026-07-10,50644.36,50644.36,paid
INV-2003,SO-2003,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,sai-ke,2026-05-14,2026-06-13,50644.36,50644.36,paid
INV-2004,SO-2004,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,sai-ke,2026-04-17,2026-05-17,50644.36,50644.36,paid
INV-2005,SO-2005,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,sai-ke,2026-03-21,2026-04-20,50644.36,50644.36,paid
INV-2006,SO-2006,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,sai-ke,2026-02-22,2026-03-24,50644.36,50644.36,paid
INV-2007,SO-2007,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,sai-ke,2026-01-26,2026-02-25,50644.36,50644.36,paid
INV-2008,SO-2008,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,sai-ke,2025-12-30,2026-01-29,50644.36,50644.36,paid
INV-2009,SO-2009,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,sai-ke,2025-12-03,2026-01-02,50644.36,50644.36,paid
INV-2010,SO-2010,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,sai-ke,2025-11-06,2025-12-06,50644.36,50644.36,paid
INV-2011,SO-2011,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,sai-ke,2025-10-10,2025-11-09,50644.36,50644.36,paid
INV-2012,SO-2012,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,sai-ke,2025-09-13,2025-10-13,50644.36,50644.36,paid
INV-2013,SO-2013,f3e21a56-a02d-0377-5fdf-351a439d3c05,sai-ke,2026-07-04,2026-08-03,124051.06,124051.06,paid
INV-2014,SO-2014,f3e21a56-a02d-0377-5fdf-351a439d3c05,sai-ke,2026-06-05,2026-07-05,185876.06,185876.06,paid
INV-2015,SO-2015,f3e21a56-a02d-0377-5fdf-351a439d3c05,sai-ke,2026-05-07,2026-06-06,79037.46,79037.46,paid
INV-2016,SO-2016,f3e21a56-a02d-0377-5fdf-351a439d3c05,sai-ke,2026-04-08,2026-05-08,97845.77,97845.77,paid
INV-2017,SO-2017,f3e21a56-a02d-0377-5fdf-351a439d3c05,sai-ke,2026-03-10,2026-04-09,126255.59,126255.59,paid
INV-2018,SO-2018,f3e21a56-a02d-0377-5fdf-351a439d3c05,sai-ke,2026-02-09,2026-03-11,112444.14,112444.14,paid
INV-2019,SO-2019,f3e21a56-a02d-0377-5fdf-351a439d3c05,sai-ke,2026-01-11,2026-02-10,62252.44,62252.44,paid
INV-2020,SO-2020,f3e21a56-a02d-0377-5fdf-351a439d3c05,sai-ke,2025-12-13,2026-01-12,83330.08,83330.08,paid
INV-2021,SO-2021,f3e21a56-a02d-0377-5fdf-351a439d3c05,sai-ke,2025-11-14,2025-12-14,251836.65,251836.65,paid
INV-2022,SO-2022,f3e21a56-a02d-0377-5fdf-351a439d3c05,sai-ke,2025-10-16,2025-11-15,180936.01,180936.01,paid
