lease_id,account_id,tenant_id,contract_ref,start_date,end_date,term_months,includes_consumables,monthly_volume_allowance,service_sla_VERIFY,status
ac50e397-060d-82d2-b1e1-61620eb37049,465e4f1a-6a37-d3dc-465b-196715bda2f2,sai-ke,LC-5000,2023-05-01,2027-04-10,48,False,10000,VERIFY - confirm SLA,active
fbdb66bf-7bce-ade7-1bd2-8ff33c29f874,70274f14-b261-bd97-100c-a3de0bddc6c2,sai-ke,LC-5001,2025-04-28,2030-04-02,60,True,20000,VERIFY - confirm SLA,active
4f72ccab-927b-be76-b77d-a9167c7b1cdc,749a986b-fac7-0a30-9406-0ffa15f00b5f,sai-ke,LC-5002,2024-07-20,2027-07-05,36,True,10000,VERIFY - confirm SLA,active
26a233c6-827c-8501-1ed3-9d00107cafda,f3e21a56-a02d-0377-5fdf-351a439d3c05,sai-ke,LC-5003,2025-06-08,2029-05-18,48,True,40000,VERIFY - confirm SLA,active
cbff5f83-3d3f-bfcf-381b-5461c2fe6109,26e918e8-5d7f-2dd9-b7d4-f81e963d9690,sai-ke,LC-5004,2022-10-31,2027-10-05,60,False,20000,VERIFY - confirm SLA,active
d21e1913-7175-9366-3f47-7d8c6947db5a,3da496f2-6c68-6255-d3b3-12e2087ce75e,sai-ke,LC-5005,2025-01-20,2028-01-05,36,True,20000,VERIFY - confirm SLA,active
00e296a9-6761-3278-bbad-9b84bf789a84,73a024ee-4954-3236-9f12-654a9e4b07f8,sai-ke,LC-5006,2024-02-10,2029-01-14,60,False,40000,VERIFY - confirm SLA,active
cf52331f-dbbc-d633-92f8-d81373eaa0ac,70274f14-b261-bd97-100c-a3de0bddc6c2,sai-ke,LC-5007,2025-09-10,2028-08-25,36,True,5000,VERIFY - confirm SLA,active
ab092e04-a042-9786-7819-1154821a031a,749a986b-fac7-0a30-9406-0ffa15f00b5f,sai-ke,LC-5008,2023-07-03,2027-06-12,48,False,20000,VERIFY - confirm SLA,active
ba00c439-209b-15c3-6c0e-cccffa54295e,fbadbef4-7a3d-b782-c9c7-a0778d6c0417,sai-ke,LC-5009,2023-09-15,2026-08-30,36,False,5000,VERIFY - confirm SLA,active
e8b45cc1-da91-8797-fe3e-c8e17271a0a6,fbadbef4-7a3d-b782-c9c7-a0778d6c0417,sai-ke,LC-5010,2025-09-07,2028-08-22,36,True,5000,VERIFY - confirm SLA,active
09e7ad94-5bfa-13f9-a156-e9b347b41e93,75891ee8-ff77-b7cc-3ab3-5af3772f7f5a,sai-ke,LC-5011,2023-05-29,2026-05-13,36,False,5000,VERIFY - confirm SLA,active
ba1c98df-035d-af4b-7ccf-c473c6922f18,3da496f2-6c68-6255-d3b3-12e2087ce75e,sai-ke,LC-5012,2025-03-22,2030-02-24,60,False,40000,VERIFY - confirm SLA,active
1262808a-fc76-c6b0-42d4-8718fbcc79ea,279e0f97-abdc-f275-6a39-ad4f0903cc4f,sai-ke,LC-5013,2023-07-21,2027-06-30,48,True,5000,VERIFY - confirm SLA,active
db0d45ed-608d-d633-2674-c38517b64d8f,fbadbef4-7a3d-b782-c9c7-a0778d6c0417,sai-ke,LC-5014,2023-03-15,2027-02-22,48,False,20000,VERIFY - confirm SLA,active
0a19010a-b7b4-03f8-91ab-2d0a2921dad0,368f908c-6cf2-b82d-fbca-fd0bbd84b4df,sai-ke,LC-5015,2024-03-08,2028-02-16,48,True,10000,VERIFY - confirm SLA,active
65dc0029-eb67-b14f-8a71-d7c22b23f4f7,fbadbef4-7a3d-b782-c9c7-a0778d6c0417,sai-ke,LC-5016,2024-03-15,2028-02-23,48,False,40000,VERIFY - confirm SLA,active
9f9a8276-e74d-5831-b2ca-312511d4e39e,2d88b186-a85b-af34-53ba-732eee247387,sai-ke,LC-5017,2023-10-18,2028-09-21,60,True,5000,VERIFY - confirm SLA,active
656079bb-dc30-0a2f-b5ba-3c56d47130e7,73a024ee-4954-3236-9f12-654a9e4b07f8,sai-ke,LC-5018,2024-01-20,2027-01-04,36,False,20000,VERIFY - confirm SLA,active
172c557a-410e-ed4f-bcab-da0da4040c1b,2198fcae-b678-397a-2ebe-15c1c94a5532,sai-ke,LC-5019,2024-09-26,2027-09-11,36,False,40000,VERIFY - confirm SLA,active
f83f72b3-94ff-f838-09a5-acbed5a5d74c,3da496f2-6c68-6255-d3b3-12e2087ce75e,sai-ke,LC-5020,2023-07-28,2028-07-01,60,False,10000,VERIFY - confirm SLA,active
78a8b9a4-6bfb-78c2-4605-262a0a54aabb,767c0c6f-9fe5-eed6-6962-a4952889f486,sai-ke,LC-5021,2025-05-04,2028-04-18,36,False,10000,VERIFY - confirm SLA,active
0385e06c-7891-bd76-e3a0-cc7d3f8a3f22,2198fcae-b678-397a-2ebe-15c1c94a5532,sai-ke,LC-5022,2024-10-30,2027-10-15,36,True,40000,VERIFY - confirm SLA,active
5788f8ea-3b1e-a0cd-d85a-37fffea7ea39,33729b60-8b0b-ac69-5da0-6057f4a19148,sai-ke,LC-5023,2023-06-07,2026-05-22,36,True,5000,VERIFY - confirm SLA,active
bfc64bf7-d311-acbe-ac99-84c7ae141792,767c0c6f-9fe5-eed6-6962-a4952889f486,sai-ke,LC-5024,2024-02-21,2027-02-05,36,True,5000,VERIFY - confirm SLA,active
3d3b02cb-6bac-17b0-112a-c41fc60b7357,fb46e631-53ee-c623-c4d2-c4d0ffb7b162,sai-ke,LC-5025,2023-03-06,2028-02-08,60,False,10000,VERIFY - confirm SLA,active
7b1925ea-f3f1-c077-70d4-d7e6e86c75b8,70274f14-b261-bd97-100c-a3de0bddc6c2,sai-ke,LC-5026,2024-02-17,2027-02-01,36,False,20000,VERIFY - confirm SLA,active
10b3ef78-82d9-e001-5870-796b78557ee6,fb46e631-53ee-c623-c4d2-c4d0ffb7b162,sai-ke,LC-5027,2024-12-05,2027-11-20,36,True,5000,VERIFY - confirm SLA,active
