order_id,account_id,contact_id,tenant_id,branch_id,order_date,status,delivery_date,subtotal,vat,total,currency
SO-2001,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,b01a7154-dd90-a260-74ed-d3ec54a67c04,sai-ke,8efa6771-e1d6-8ea8-08d8-13c5a1acffce,2026-07-07,delivered,2026-07-09,43658.93,6985.43,50644.36,KES
SO-2002,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,b01a7154-dd90-a260-74ed-d3ec54a67c04,sai-ke,8efa6771-e1d6-8ea8-08d8-13c5a1acffce,2026-06-10,delivered,2026-06-12,43658.93,6985.43,50644.36,KES
SO-2003,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,b01a7154-dd90-a260-74ed-d3ec54a67c04,sai-ke,8efa6771-e1d6-8ea8-08d8-13c5a1acffce,2026-05-14,delivered,2026-05-16,43658.93,6985.43,50644.36,KES
SO-2004,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,b01a7154-dd90-a260-74ed-d3ec54a67c04,sai-ke,8efa6771-e1d6-8ea8-08d8-13c5a1acffce,2026-04-17,delivered,2026-04-19,43658.93,6985.43,50644.36,KES
SO-2005,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,b01a7154-dd90-a260-74ed-d3ec54a67c04,sai-ke,8efa6771-e1d6-8ea8-08d8-13c5a1acffce,2026-03-21,delivered,2026-03-23,43658.93,6985.43,50644.36,KES
SO-2006,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,b01a7154-dd90-a260-74ed-d3ec54a67c04,sai-ke,8efa6771-e1d6-8ea8-08d8-13c5a1acffce,2026-02-22,delivered,2026-02-24,43658.93,6985.43,50644.36,KES
SO-2007,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,b01a7154-dd90-a260-74ed-d3ec54a67c04,sai-ke,8efa6771-e1d6-8ea8-08d8-13c5a1acffce,2026-01-26,delivered,2026-01-28,43658.93,6985.43,50644.36,KES
SO-2008,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,b01a7154-dd90-a260-74ed-d3ec54a67c04,sai-ke,8efa6771-e1d6-8ea8-08d8-13c5a1acffce,2025-12-30,delivered,2026-01-01,43658.93,6985.43,50644.36,KES
SO-2009,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,b01a7154-dd90-a260-74ed-d3ec54a67c04,sai-ke,8efa6771-e1d6-8ea8-08d8-13c5a1acffce,2025-12-03,delivered,2025-12-05,43658.93,6985.43,50644.36,KES
SO-2010,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,b01a7154-dd90-a260-74ed-d3ec54a67c04,sai-ke,8efa6771-e1d6-8ea8-08d8-13c5a1acffce,2025-11-06,delivered,2025-11-08,43658.93,6985.43,50644.36,KES
