account_id,sku,tenant_id,contract_price,discount_pct_VERIFY,valid_from,valid_to
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,MAP-1155,sai-ke,233.84,24.0,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,OFF-1168,sai-ke,9076.5,22.09,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,FEL-1182,sai-ke,9468.92,20.73,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,SKO-1116,sai-ke,1067.69,20.75,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,DEL-1025,sai-ke,5245.32,21.93,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,PRI-1112,sai-ke,5212.74,20.33,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,CAN-1037,sai-ke,8152.1,19.0,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,CAN-1004,sai-ke,1443.9,19.5,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,OFP-A4-80,sai-ke,575.93,20.01,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,SKO-1228,sai-ke,829.18,23.08,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,PRI-1194,sai-ke,3307.92,19.28,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,HEL-1156,sai-ke,4631.05,23.85,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,CAN-1044,sai-ke,1970.2,20.89,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,OFF-1114,sai-ke,2369.56,22.48,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,BRO-1056,sai-ke,7696.55,20.58,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,LEN-1034,sai-ke,4945.13,21.67,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,BRO-1089,sai-ke,567.26,19.03,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,DEL-1054,sai-ke,9215.16,20.72,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,D-L-1073,sai-ke,1577.74,19.63,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,CAN-1001,sai-ke,4517.35,18.23,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,BLU-1304,sai-ke,1243.92,21.53,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,KAN-1189,sai-ke,5477.19,22.28,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,SKO-1159,sai-ke,4570.94,21.07,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,SKO-1130,sai-ke,2647.1,22.6,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,OFF-1253,sai-ke,4651.96,18.89,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,BRO-TN2421,sai-ke,4905.64,23.35,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,HP-CF226A,sai-ke,7742.0,21.0,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,KAN-1187,sai-ke,8941.63,20.82,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,BRO-1095,sai-ke,8633.47,20.33,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,LEN-1032,sai-ke,4554.58,23.17,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,HEL-1217,sai-ke,8675.49,20.9,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,D-L-1039,sai-ke,9756.52,18.55,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,OFF-1255,sai-ke,7836.36,18.04,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,REX-1178,sai-ke,7162.51,19.8,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,VED-1209,sai-ke,7613.96,18.02,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,PRI-1154,sai-ke,8258.72,21.87,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,OFF-1260,sai-ke,2633.09,19.21,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,HEL-1115,sai-ke,7158.02,20.17,2026-02-12,2027-02-07
ea938fb0-0084-6aba-6d9e-9f0c793b22c6,KAN-1195,sai-ke,2751.81,23.0,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,CAN-1066,sai-ke,7551.67,7.12,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,MAP-1172,sai-ke,4145.52,10.27,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,OFF-1246,sai-ke,3471.19,8.29,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,BLU-1305,sai-ke,4866.1,9.73,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,CRA-1177,sai-ke,6380.62,8.19,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,OFF-1239,sai-ke,2049.13,5.99,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,SCH-1306,sai-ke,10275.18,8.34,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,OFP-A4-80,sai-ke,642.07,10.82,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,SCH-1288,sai-ke,9106.68,10.78,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,KAN-1143,sai-ke,9014.18,6.87,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,UHU-1221,sai-ke,10364.08,5.38,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,HP-1084,sai-ke,5596.73,9.42,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,UHU-1153,sai-ke,9260.33,5.61,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,CRA-1152,sai-ke,2164.24,9.99,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,UHU-1131,sai-ke,5698.04,8.85,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,SKO-1138,sai-ke,1768.5,5.41,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,SKO-1127,sai-ke,3410.6,7.83,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,APC-1296,sai-ke,10833.9,9.22,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,BRO-TN2421,sai-ke,5857.83,8.47,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,SKO-1171,sai-ke,9142.79,6.08,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,HP-CF226A,sai-ke,8918.0,9.0,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,BRO-1095,sai-ke,9967.75,8.01,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,ORT-1210,sai-ke,1618.38,10.44,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,OFF-1265,sai-ke,7115.67,6.13,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,VED-1203,sai-ke,429.81,8.19,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,EAT-1276,sai-ke,4797.98,9.0,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,D-L-1016,sai-ke,10063.68,8.25,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,SCH-1312,sai-ke,9772.55,7.83,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,OFF-1238,sai-ke,4510.66,10.61,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,TRI-1298,sai-ke,4471.39,6.7,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,DEL-1006,sai-ke,1297.41,7.08,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,UHU-1128,sai-ke,4339.92,8.94,2026-02-12,2027-02-07
49b3cfd6-582c-702c-b9ae-bd7911f87156,OFF-1250,sai-ke,7762.8,6.5,2026-02-12,2027-02-07
e55f68bc-a73a-e9a3-7089-c1b02e0e0e94,TZ-2010,sai-tz,645.06,14.81,2026-02-12,2027-02-07
e55f68bc-a73a-e9a3-7089-c1b02e0e0e94,TZ-2011,sai-tz,638.16,12.5,2026-02-12,2027-02-07
e55f68bc-a73a-e9a3-7089-c1b02e0e0e94,TZ-2008,sai-tz,653.02,13.68,2026-02-12,2027-02-07
e55f68bc-a73a-e9a3-7089-c1b02e0e0e94,TZ-2005,sai-tz,2879.06,16.52,2026-02-12,2027-02-07
e55f68bc-a73a-e9a3-7089-c1b02e0e0e94,TZ-2009,sai-tz,280.84,14.73,2026-02-12,2027-02-07
e55f68bc-a73a-e9a3-7089-c1b02e0e0e94,TZ-2002,sai-tz,6077.03,15.52,2026-02-12,2027-02-07
e55f68bc-a73a-e9a3-7089-c1b02e0e0e94,TZ-2004,sai-tz,342.67,12.94,2026-02-12,2027-02-07
e55f68bc-a73a-e9a3-7089-c1b02e0e0e94,TZ-2006,sai-tz,936.95,14.93,2026-02-12,2027-02-07
e55f68bc-a73a-e9a3-7089-c1b02e0e0e94,TZ-2003,sai-tz,10415.58,12.11,2026-02-12,2027-02-07
e55f68bc-a73a-e9a3-7089-c1b02e0e0e94,TZ-2007,sai-tz,7551.46,16.66,2026-02-12,2027-02-07
e55f68bc-a73a-e9a3-7089-c1b02e0e0e94,TZ-2000,sai-tz,1171.83,14.17,2026-02-12,2027-02-07
e55f68bc-a73a-e9a3-7089-c1b02e0e0e94,TZ-2001,sai-tz,5403.67,12.56,2026-02-12,2027-02-07
1315321f-4004-8a33-cbaa-9bc193174212,APC-1281,sai-ke,8682.79,5.53,2026-02-12,2027-02-07
1315321f-4004-8a33-cbaa-9bc193174212,FEL-1182,sai-ke,11015.88,7.78,2026-02-12,2027-02-07
1315321f-4004-8a33-cbaa-9bc193174212,OFF-1245,sai-ke,3979.93,5.69,2026-02-12,2027-02-07
1315321f-4004-8a33-cbaa-9bc193174212,OFF-1247,sai-ke,4355.92,6.64,2026-02-12,2027-02-07
1315321f-4004-8a33-cbaa-9bc193174212,FEL-1140,sai-ke,4121.08,6.92,2026-02-12,2027-02-07
1315321f-4004-8a33-cbaa-9bc193174212,D-L-1076,sai-ke,9939.51,9.25,2026-02-12,2027-02-07
1315321f-4004-8a33-cbaa-9bc193174212,OFF-1263,sai-ke,925.99,6.52,2026-02-12,2027-02-07
1315321f-4004-8a33-cbaa-9bc193174212,OFF-1234,sai-ke,5377.62,9.86,2026-02-12,2027-02-07
1315321f-4004-8a33-cbaa-9bc193174212,PRI-1112,sai-ke,6134.36,6.24,2026-02-12,2027-02-07
1315321f-4004-8a33-cbaa-9bc193174212,CRA-1177,sai-ke,6244.18,10.16,2026-02-12,2027-02-07
1315321f-4004-8a33-cbaa-9bc193174212,SKO-1129,sai-ke,2316.63,6.28,2026-02-12,2027-02-07
1315321f-4004-8a33-cbaa-9bc193174212,BLU-1305,sai-ke,4842.14,10.18,2026-02-12,2027-02-07
1315321f-4004-8a33-cbaa-9bc193174212,D-L-1059,sai-ke,3631.25,9.24,2026-02-12,2027-02-07
1315321f-4004-8a33-cbaa-9bc193174212,SCH-1288,sai-ke,9525.84,6.67,2026-02-12,2027-02-07
1315321f-4004-8a33-cbaa-9bc193174212,BLU-1308,sai-ke,1391.37,8.94,2026-02-12,2027-02-07
1315321f-4004-8a33-cbaa-9bc193174212,BLU-1293,sai-ke,7792.66,8.21,2026-02-12,2027-02-07
1315321f-4004-8a33-cbaa-9bc193174212,BRO-1105,sai-ke,5320.43,6.88,2026-02-12,2027-02-07
1315321f-4004-8a33-cbaa-9bc193174212,TRI-1297,sai-ke,5273.35,7.05,2026-02-12,2027-02-07
1315321f-4004-8a33-cbaa-9bc193174212,SKO-1227,sai-ke,1984.3,5.42,2026-02-12,2027-02-07
1315321f-4004-8a33-cbaa-9bc193174212,DEL-1021,sai-ke,4294.69,6.84,2026-02-12,2027-02-07
1315321f-4004-8a33-cbaa-9bc193174212,LEN-1062,sai-ke,4663.41,6.55,2026-02-12,2027-02-07
1315321f-4004-8a33-cbaa-9bc193174212,LEN-1067,sai-ke,10838.05,5.75,2026-02-12,2027-02-07
1315321f-4004-8a33-cbaa-9bc193174212,APC-1296,sai-ke,10727.1,10.12,2026-02-12,2027-02-07
1315321f-4004-8a33-cbaa-9bc193174212,CAN-1101,sai-ke,8082.19,6.34,2026-02-12,2027-02-07
1315321f-4004-8a33-cbaa-9bc193174212,PRI-1120,sai-ke,6642.91,9.79,2026-02-12,2027-02-07
1315321f-4004-8a33-cbaa-9bc193174212,VED-1203,sai-ke,444.49,5.05,2026-02-12,2027-02-07
