repair_job_no,account_id,contact_id,tenant_id,brand,model,serial_no,fault_description,current_stage,received_at,quote_amount,warranty_status
RJ-4401,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,b01a7154-dd90-a260-74ed-d3ec54a67c04,sai-ke,Epson,WorkForce Pro WF-C5790,X4TY882031,"Paper feed jam, intermittent",ready_for_collection,2026-07-31,,out_of_warranty
RJ-4402,49b3cfd6-582c-702c-b9ae-bd7911f87156,d8413a8f-e988-7014-92dd-f0e4b48b5224,sai-ke,APC,Smart-UPS SRT 3000VA,AS2419110776,"Unit not holding charge, battery module suspect",awaiting_customer_approval,2026-08-03,48750.0,out_of_warranty
RJ-4403,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,b01a7154-dd90-a260-74ed-d3ec54a67c04,sai-ke,APC,Back-UPS Pro 1200,A5644593,Print quality streaking,awaiting_customer_approval,2026-07-29,,out_of_warranty
RJ-4404,04c823b4-adac-2af1-e7ad-31e0930ab83a,1b5b6cfd-e39e-d63f-ab83-0b9561ed94b4,sai-ke,Epson,Back-UPS Pro 1200,B9730533,Print quality streaking,awaiting_parts,2026-07-26,,in_warranty
RJ-4405,04c823b4-adac-2af1-e7ad-31e0930ab83a,1b5b6cfd-e39e-d63f-ab83-0b9561ed94b4,sai-ke,APC,Smart-UPS 1500VA,B8383546,Network module failure,received,2026-07-07,14204.32,out_of_warranty
RJ-4406,749a986b-fac7-0a30-9406-0ffa15f00b5f,96cd5282-186d-97ad-84a9-9bc64a0e53b3,sai-ke,APC,Smart-UPS 1500VA,A5474167,Will not power on,awaiting_parts,2026-07-30,,out_of_warranty
RJ-4407,fb46e631-53ee-c623-c4d2-c4d0ffb7b162,911e5327-c97b-f75d-950a-255d3e61a361,sai-ke,Epson,Back-UPS Pro 1200,B6885915,Will not power on,ready_for_collection,2026-08-06,,in_warranty
RJ-4408,53faa3a3-625b-b313-c8e1-3e82e5703f89,9bed7792-2017-0ffd-1ed6-8d4b49fd994e,sai-ke,Epson,WorkForce WF-7840,B3666867,Battery fault,collected,2026-06-30,,out_of_warranty
RJ-4409,2d88b186-a85b-af34-53ba-732eee247387,513e6e94-8ca7-8a74-88ab-bfec36f3df83,sai-ke,Epson,WorkForce WF-7840,X1764802,Network module failure,ready_for_collection,2026-08-02,,out_of_warranty
RJ-4410,465e4f1a-6a37-d3dc-465b-196715bda2f2,704342d7-7ad3-43ef-0dcd-c690449e0600,sai-ke,APC,Back-UPS Pro 1200,X6677356,Will not power on,under_repair,2026-07-07,47455.73,out_of_warranty
RJ-4411,04c823b4-adac-2af1-e7ad-31e0930ab83a,1b5b6cfd-e39e-d63f-ab83-0b9561ed94b4,sai-ke,APC,EcoTank L6290,A4820080,Battery fault,ready_for_collection,2026-07-14,22456.04,out_of_warranty
