history_id,repair_job_no,stage,entered_at,exited_at,duration_hours,note
f48ec5db-5558-51de-6640-08ea7af8591d,RJ-4401,received,2026-07-31,2026-07-31,22,
06a7fdc6-b797-382b-55de-1a4a3dfe086e,RJ-4401,diagnosed,2026-07-31,2026-07-31,18,
f9580f23-7316-9daa-a16a-6d1e136b433f,RJ-4401,awaiting_customer_approval,2026-07-31,2026-08-01,24,
eda000a4-7c0c-0f4d-06cd-7e0a96aface1,RJ-4401,awaiting_parts,2026-08-01,2026-08-01,20,
18a37bf6-a243-abba-3903-1c054979bc28,RJ-4401,under_repair,2026-08-01,2026-08-01,13,
009279e7-f79e-bae0-5003-16cc015da6f7,RJ-4401,ready_for_collection,2026-08-01,,,
decedad4-dd8f-fa3f-ede6-d7e9d706d871,RJ-4402,received,2026-08-03,2026-08-03,19,
434a35b2-68a6-a3fd-f043-a4c97a5dfb88,RJ-4402,diagnosed,2026-08-03,2026-08-04,26,
5bece39d-30e4-1024-4c5a-7fd8541088c4,RJ-4402,awaiting_customer_approval,2026-08-04,,,
ff199209-857d-5f89-1300-5a50961a29a0,RJ-4403,received,2026-07-29,2026-07-29,18,
363c5ddb-80f8-652d-82dd-da1000928004,RJ-4403,diagnosed,2026-07-29,2026-07-30,29,
352ea8d5-781b-265b-de58-40803bd2d458,RJ-4403,awaiting_customer_approval,2026-07-30,,,
dd78ebf9-27f8-a6e3-9a9c-e0d8dcb85b2b,RJ-4404,received,2026-07-26,2026-07-26,21,
de6653c9-3858-071d-fc89-974a15359296,RJ-4404,diagnosed,2026-07-26,2026-07-26,23,
63f09200-8054-ac13-0c2d-0cabd5eb1eda,RJ-4404,awaiting_customer_approval,2026-07-26,2026-07-26,17,
126e9b78-7fc9-c3af-50e4-b5f1c63e68db,RJ-4404,awaiting_parts,2026-07-26,,,
dc8de1dd-8bb6-e74f-05bc-2b77a172ba69,RJ-4405,received,2026-07-07,,,
fcdcef95-be8e-4b26-71e6-3a503fde0149,RJ-4406,received,2026-07-30,2026-07-30,12,
6835130d-4896-80b6-8a0d-d0f4479b63eb,RJ-4406,diagnosed,2026-07-30,2026-07-31,26,
3d7fcbc2-96e1-3de6-63ff-08124798fdd4,RJ-4406,awaiting_customer_approval,2026-07-31,2026-07-31,23,
1abab860-6f00-5c41-db99-64621b382881,RJ-4406,awaiting_parts,2026-07-31,,,
63a48aef-315f-8500-fce9-939b2a45696e,RJ-4407,received,2026-08-06,2026-08-06,20,
3a0786fc-0233-d920-0430-efd3c99ce543,RJ-4407,diagnosed,2026-08-06,2026-08-06,12,
dd19873d-1ca3-3261-c946-01af8c0297d2,RJ-4407,awaiting_customer_approval,2026-08-06,2026-08-07,27,
74098c65-aec6-300a-e155-480b021f2293,RJ-4407,awaiting_parts,2026-08-07,2026-08-07,7,
d5b34151-2b5e-7e5a-cc42-e447f8452dc0,RJ-4407,under_repair,2026-08-07,2026-08-07,8,
f870b93d-45df-c331-fa9f-8ab1053d4f77,RJ-4407,ready_for_collection,2026-08-07,,,
495ffb06-4b19-be67-e480-b7c7e2cc801a,RJ-4408,received,2026-06-30,2026-06-30,12,
eefa5293-8439-fce3-e664-68cd80c7c483,RJ-4408,diagnosed,2026-06-30,2026-07-01,25,
058313d7-96db-d224-b62b-cab4d118f0ca,RJ-4408,awaiting_customer_approval,2026-07-01,2026-07-02,25,
9c909e78-fe13-c293-bb3e-2df84982a407,RJ-4408,awaiting_parts,2026-07-02,2026-07-03,24,
1c5e9715-76c1-12b6-0232-45db7f575064,RJ-4408,under_repair,2026-07-03,2026-07-04,26,
8b49b244-ed55-a2d1-4286-0c796f4c48ef,RJ-4408,ready_for_collection,2026-07-04,2026-07-05,30,
8fce2fd1-de98-b278-7b58-65457d35ea18,RJ-4408,collected,2026-07-05,,,
acad5c66-37db-fb1d-d8a9-6ef87442e765,RJ-4409,received,2026-08-02,2026-08-02,15,
40481ece-aaec-b5ae-c39c-315efaf71db9,RJ-4409,diagnosed,2026-08-02,2026-08-02,4,
ee78106d-cdd6-23ae-0afb-cb70e70f1599,RJ-4409,awaiting_customer_approval,2026-08-02,2026-08-02,16,
1d97e7bb-1965-7e64-70e8-dd5d4c963687,RJ-4409,awaiting_parts,2026-08-02,2026-08-02,22,
b45ec897-2f7c-af6c-b75e-3deac5ad149d,RJ-4409,under_repair,2026-08-02,2026-08-03,25,
f6eb2de9-da25-1994-a1bc-142b63bfd2f9,RJ-4409,ready_for_collection,2026-08-03,,,
3c768400-f734-b567-9f22-50076397f267,RJ-4410,received,2026-07-07,2026-07-07,4,
85fc47d2-84fd-22b4-1b75-3e07368312b3,RJ-4410,diagnosed,2026-07-07,2026-07-07,11,
db432838-c1b7-948f-e093-475018fb738b,RJ-4410,awaiting_customer_approval,2026-07-07,2026-07-07,11,
cabc5c22-ba18-247f-074a-b84492c0b0bd,RJ-4410,awaiting_parts,2026-07-07,2026-07-08,29,
58856341-ed89-2046-f2c4-5d37427c9c54,RJ-4410,under_repair,2026-07-08,,,
53cea08c-ec4a-4472-a59a-b304b890fe4e,RJ-4411,received,2026-07-14,2026-07-15,30,
f5193338-02a3-52d5-c0b0-0efd2836858e,RJ-4411,diagnosed,2026-07-15,2026-07-15,15,
e7405a49-1a6a-1d7f-0de7-a6e7a833dde8,RJ-4411,awaiting_customer_approval,2026-07-15,2026-07-16,28,
0bbe90df-9681-234f-1392-83134048f8be,RJ-4411,awaiting_parts,2026-07-16,2026-07-16,13,
0b487267-e703-f127-6f18-7bdce49cd7bd,RJ-4411,under_repair,2026-07-16,2026-07-16,7,
dd38869e-6d27-3d98-1f06-c443163935e1,RJ-4411,ready_for_collection,2026-07-16,,,
1426b3ce-559d-8171-8340-f4954906e86e,RJ-4412,received,2026-07-06,2026-07-06,8,
9b9deadc-289f-be48-bb08-9b65a5d37c38,RJ-4412,diagnosed,2026-07-06,2026-07-06,10,
9752bffe-41fa-1b6e-24f0-313dc5ea7551,RJ-4412,awaiting_customer_approval,2026-07-06,2026-07-06,23,
12e6ca4a-b37b-dcf5-b41a-bd8c5a45b703,RJ-4412,awaiting_parts,2026-07-06,2026-07-06,14,
67b41e71-9e55-5ab8-7a50-ce5f6e510f25,RJ-4412,under_repair,2026-07-06,,,
db893e59-0dbf-2224-52cd-cf41a1d52354,RJ-4413,received,2026-07-31,2026-07-31,18,
